County Name,Unemployment Rate,Median Household Income,Pop. Below Poverty Line,Ratio of Income 80th vs 20th Percentile:,Banking Institutions Per 10000 Pop.,Household Spending <30% of income on housing,High-Speed Internet,Preschool Enrollment,On-time HS Graduation,Associate Degree or Higher,Violent Crime per 100000 Pop.,Youth Not In School Or Working,Primary Care Providers Per 100000 Pop.,Grocery Stores and Supermarkets per 10000 Pop.
"Fulton, Indiana",4.2,37597,15.5,4.3,4.4,76.8,3,None,88,22.6,200.1,14.8,21.9,2.2
"Gibson, Indiana",3.5,46172,11.5,3.9,5.1,80.8,3,52.6,91,27.8,109.1,15.1,56.6,2.1
"Grant, Indiana",5.2,37203,18.6,4.4,5.5,74.2,4,34.5,90,24,161.5,11.6,118.8,1.3
"Greene, Indiana",3.9,41165,14,4.4,6.7,78.2,4,None,92,30,107.3,13.8,47.6,2.9
"Hamilton, Indiana",3.1,77190,5.1,3.7,4.9,75.7,5,59.2,92,61.7,44.2,8.3,565.3,1.3
"Hancock, Indiana",3.9,58950,7.6,3.5,2.7,74.7,4,42.1,92,35.4,49.3,14.5,206.8,0.7
"Harrison, Indiana",4.4,47277,13.2,4.1,3.6,73.4,3,43.8,93,22.3,86.2,19.3,89.6,1
"Hendricks, Indiana",3.6,63926,5,3.3,4.2,75.3,5,46.3,96,41.4,None,13.3,166.6,0.7
"Henry, Indiana",5.1,38076,17,4.2,4.9,72.1,3,45.3,90,21.9,47.1,23.5,89.7,1.6
"Howard, Indiana",4.7,40800,16.7,4.7,4.9,71.7,4,45.3,89,27.5,259.1,15,163.9,1.3
"Huntington, Indiana",4.1,43195,12,3.8,6.5,74.5,3,39.7,88,25.1,88.6,13.2,119.4,1.4
"Jackson, Indiana",3.8,43525,13,3.7,6,74.2,3,47.5,92,21.6,262.8,17,124.3,2.3
"Jasper, Indiana",5.4,53820,7.7,3.2,5.1,79.1,4,35.5,90,23.1,None,14.7,44.9,2.1
"Jay, Indiana",4.8,37660,14.7,3.7,5.2,78.1,3,38.3,93,18.5,85.5,22.7,32.9,1.4
"Jefferson, Indiana",9.8,40992,13.6,3.7,5.8,79.7,2,None,68,14.4,1167.8,13.66,19.5,1
"Jennings, Indiana",8.3,41304,16.7,4.1,6.5,68.7,2,None,73,19.7,186,22.7,55.5,1.8
"Johnson, Indiana",3.9,57312,10.6,3.8,4.5,72.5,4,36.7,91,36.2,230.3,11,214.7,0.7
"Knox, Indiana",4.1,39423,14,4.4,5.5,75.1,3,43,80,29.3,87,9.3,197,1.3
"Kosciusko, Indiana",3.6,47604,11.9,3.8,6.2,75.8,4,33.7,87,26.5,60.6,11.7,82.1,2.2
"LaGrange, Indiana",7.3,44570,16.5,3.6,1.6,87.2,3,None,83,19.8,709.9,20,32.9,3.3
"Lake, Indiana",6.7,45897,17.8,4.8,4.4,66,4,40.8,82,27.4,402.6,16.6,159.7,1.8
"LaPorte, Indiana",5.9,44496,16.5,4.3,3.8,70.7,4,46,88,25.6,181.7,23.6,125.8,1.7
"Lawrence, Indiana",6.2,39899,15.2,4.4,3.7,70.9,3,41.6,86,22.8,182.9,18.3,89.4,2
"Madison, Indiana",5.4,40360,17.3,4.3,3.8,69.5,4,35.1,87,25.1,258.3,22.6,124.3,1.7
"Marion, Indiana",4.9,39625,20.4,4.7,3.7,62.9,4,38.5,77,34.3,1124.5,16.84,422,1.7
"Marshall, Indiana",3.9,42784,15.2,4.1,4.5,73.1,4,46.6,89,23.9,91.1,14.6,85,2.1
"Martin, Indiana",4.1,41877,14.6,4.3,4.7,69.7,3,None,83,31.7,70.4,None,121.7,1.4
"Miami, Indiana",5,39334,17.2,3.9,4.2,74.5,3,43.1,92,18.1,114.4,22.8,47,2.5
"Monroe, Indiana",4.2,37489,25.1,6.5,3.5,58.4,4,49.3,90,49.8,272.3,4.4,232.4,1.3
"Montgomery, Indiana",3.8,43802,16.8,3.9,5.8,73,3,42.6,98,23.8,167.8,18.8,68.2,2.1
"Morgan, Indiana",4.5,51811,11.5,3.9,3.2,73.6,4,35.3,88,24.7,None,13.3,110.9,1.3
"Newton, Indiana",5.2,47045,11.2,3.7,6,63.6,3,None,91,22.8,90.8,22.7,30.1,3
"Noble, Indiana",3.9,44102,14.2,3.7,4.2,74.5,4,28.3,87,21.5,61.9,20,40,2.1
"Ohio, Indiana",2.1,47153,8.3,3.7,6.6,80.1,4,None,94,35.5,98.3,None,109.6,2.2
"Orange, Indiana",5.7,36341,17.9,4.3,4.9,68.4,2,None,83,22.4,147.5,26.8,32.5,0.8
"Owen, Indiana",4.3,41137,14,3.7,6.4,76.1,3,None,83,18.7,411.2,18.8,69.1,2.1
"Parke, Indiana",6,41062,13.3,3.6,4.7,66.7,2,None,68,17,181,25.5,0,3.6
"Perry, Indiana",7,44550,10.9,4.1,1.9,75.1,2,None,78,18.4,113.2,20.9,29,1
"Pike, Indiana",6.1,38077,12.7,4.1,6.8,67.8,3,None,91,19.3,264.8,23.1,31.9,2.8
"Porter, Indiana",5.1,58775,10.4,4,4.1,73.3,4,47.9,92,34.6,127,13.4,160.4,0.7
"Posey, Indiana",6.3,54990,9.9,3.9,6.4,68.9,2,None,78,20.4,185.2,None,130.8,1.9
"Pulaski, Indiana",5.2,41899,14,4.3,2.3,78.8,3,None,75,23.3,30.3,20,33.9,0
"Putnam, Indiana",4.7,47569,9.7,3.4,4.3,74.4,4,42.4,81,23.3,61.4,16.7,69.3,0.8
"Randolph, Indiana",2.9,38286,17.4,4.1,4.4,79.7,3,None,88,20.6,207,15.4,29.2,1.5
"Ripley, Indiana",4,44495,9.4,3.8,5.9,74.8,3,None,89,23.4,226.7,11.4,36.8,1.5
"Rush, Indiana",8,44367,15.4,4,8.3,72,4,None,None,21.8,None,24.5,208,8.3
"St. Joseph, Indiana",4.9,41729,17.7,4.5,4.5,71,4,39.5,84,34.1,370.5,11.7,261.6,1.5
"Scott, Indiana",8.3,40153,19,3.7,9.1,75,3,None,None,11.5,339.7,22.7,15.1,3
"Shelby, Indiana",5.6,48148,12.9,3.8,3.2,61,4,None,63,36.1,77.3,20.8,170,0.8
"Spencer, Indiana",3.7,49600,12.6,3.9,6.3,79.9,3,None,86,29.9,None,None,31.4,1.2
"Starke, Indiana",5.8,37558,16.9,3.7,3.4,69.1,4,39,81,20,178.3,21.4,43.1,2.2
"Steuben, Indiana",3.6,45003,11.5,3.6,5.2,74.1,4,36.4,86,27.8,70.1,10.2,64.2,2
"Sullivan, Indiana",6.1,40725,17.9,5.1,7.7,77.2,3,None,None,45.6,134.2,33.2,173.6,9.6
"Switzerland, Indiana",3.4,41318,22.2,3.8,5.6,83.3,5,None,87,70.1,259.4,25,330.9,1.7
"Tippecanoe, Indiana",3.7,41414,21.6,5.3,4.1,63.9,4,40.3,86,43.1,274,5.6,215,1.2
"Tipton, Indiana",7.6,49314,9.4,3.2,5.7,75.5,3,None,81,26.7,323.7,None,128.4,2.1
"Union, Indiana",3.6,41335,12.7,4.2,6.5,80.3,3,None,74,20.4,339.1,None,26,1.3
"Vanderburgh, Indiana",4,40754,15.9,4.6,4.3,68.8,4,40.1,83,30.4,386.1,11.5,281.5,2
"Vermillion, Indiana",6.9,39803,15.8,4.2,5,75.9,3,45.8,90,22,181.1,16.9,37.8,1.9
"Vigo, Indiana",6.1,38088,20,4.9,3.9,68.2,4,38.2,91,29.7,223.3,12.6,274.1,1.7
"Wabash, Indiana",4.3,42388,15.1,3.8,6.2,75.6,3,44,91,23.6,None,15.1,58.7,1.9
"Warren, Indiana",5.6,48969,None,3.7,9.9,77.5,3,None,None,24.3,357.8,None,39.7,6
"Warrick, Indiana",3.7,58361,9,3.6,4.1,75.5,4,56.4,87,37.8,253.7,12.5,400,1.8
"Washington, Indiana",6.6,39299,15.1,3.7,4,73.8,3,None,88,18.9,53.1,20.1,6.7,1.3
"Wayne, Indiana",5,35896,21.8,4.8,6.8,67.1,4,37.4,83,24.8,282.7,19.5,203,1.2
"Wells, Indiana",3.5,45055,10.7,3.6,4.6,66,4,None,73,26.1,109.7,None,108.3,4.6
"White, Indiana",2.6,48152,10.8,3.6,13.8,70,4,None,None,24.8,37.3,18,114.8,4.6
"Whitley, Indiana",3.8,48592,8.2,3.4,5.4,74.6,4,49.4,93,26.3,None,10.7,72.2,1.5
"Adair, Iowa",2.9,44827,9.5,3.7,9.4,78.6,3,48.4,None,28.2,65.3,None,40.2,2.7
"Adams, Iowa",2.9,42935,11.3,3.6,10.3,75.6,4,55.7,None,28,454.6,None,25.7,2.6
"Allamakee, Iowa",4.8,45706,12.6,3.7,5.7,80.3,4,58.6,94,23.9,None,None,42.7,6.4
"Appanoose, Iowa",4.8,36699,15.2,4.4,4.7,72.7,3,44.9,83,28.9,310.2,None,79,3.9
"Audubon, Iowa",3.7,45221,9.5,4.3,8.5,85.7,4,47.8,None,27.8,None,None,17,1.7
"Benton, Iowa",3.7,53042,8.4,3.6,6.2,80.8,4,46.1,89,31.4,83.3,None,11.7,1.2
"Black Hawk, Iowa",4.7,42819,17,4.3,5.4,71.3,4,49.1,84,35.3,407.4,8.4,224,1.8
"Boone, Iowa",3.1,48509,10.1,4.1,4.6,73.8,3,33.1,90,31.9,259.1,None,45.5,1.5
"Bremer, Iowa",3.4,57298,7.3,3.8,6.9,80.9,4,49,96,40.2,256,None,61,1.6
"Buchanan, Iowa",4.1,51998,9.9,3.6,6.7,79.5,4,45.7,92,29,71.9,None,47.8,1.4
"Buena Vista, Iowa",3.3,43946,12.8,4.1,8.7,78,4,44.5,76,27.3,304.4,None,53.4,1.9
"Butler, Iowa",4,48696,9.8,3.5,6.7,82.4,4,45.6,96,27.8,15.6,10.7,20,2.7
"Calhoun, Iowa",4.5,41637,13.4,4.3,10.1,79.6,4,42.7,94,30.8,75.7,None,40.4,4
"Carroll, Iowa",2.7,45266,9.6,4.4,9.2,76.8,4,51,93,29.8,None,None,92.2,2.9
"Cass, Iowa",3.6,40698,11.4,3.7,7.4,75.5,4,49.1,90,27.9,145.7,None,66.2,4.4
"Cedar, Iowa",3.4,54371,8,3.2,6.5,80.9,4,49.4,None,31.7,81,None,32.6,1.6
"Cerro Gordo, Iowa",4.1,41928,13.2,4.4,6.7,74.6,4,61.1,89,36.7,119.9,None,363.2,2.3
"Cherokee, Iowa",5.4,45843,9.7,4.2,10.9,79.9,4,56.6,90,30.7,280.8,None,58.7,2.5
"Chickasaw, Iowa",4.8,41157,10.3,4,9.8,79.9,3,56.4,93,24,64,None,40.7,1.6
"Clarke, Iowa",3.9,40450,13.7,4.7,6.5,69.4,3,54.2,88,22.4,103.5,None,21.6,3.2
"Clay, Iowa",3.4,45897,8.9,4.1,8.5,78.9,4,57,89,32.5,47.9,None,170,1.2
"Clayton, Iowa",3.7,44454,12.5,3.7,6.7,78.1,4,44.9,94,25.1,53.3,14.7,22.5,2.2
"Clinton, Iowa",4.8,46387,14,4.4,7,74.2,4,59.3,87,29.1,389.3,13.4,109.7,1.4
"Crawford, Iowa",5.8,43569,15.8,3.7,3.7,61.2,3,None,73,20,538.4,None,49.1,0
"Dallas, Iowa",2.8,69121,6.4,4.1,6.2,77.2,4,53.2,97,54.3,166.6,None,141.8,1.5
"Davis, Iowa",4.1,42158,21.2,4,4.6,71,3,41.7,98,28.1,144.1,23.5,22.8,2.3
"Decatur, Iowa",4.1,34001,19.5,5,5.1,77.7,4,None,72,32.8,340.2,None,132.1,3
"Delaware, Iowa",3.2,50615,8.4,3.9,6.3,77,4,69.2,98,25.3,181.8,None,40,1.7
"Des Moines, Iowa",4.3,39734,13.8,4.1,5.9,73,4,26.6,81,30,476.1,None,197.8,1.7
"Dickinson, Iowa",2.6,52543,7.8,4.3,7,57.7,5,None,83,55.6,127.4,None,222.6,3.1
"Dubuque, Iowa",3.4,48181,10.9,3.8,6.4,74,4,59,90,35.7,173.3,6.5,224.2,1.6
"Emmet, Iowa",9.4,45491,12.5,4.3,6.4,60.5,2,None,76,24.4,383.6,None,78.5,1.5
"Fayette, Iowa",7.1,42627,11.5,3.8,2.7,69.8,4,None,78,28.8,104.3,None,35.5,1.8
"Floyd, Iowa",5.9,41021,12.6,4.4,7.9,74.4,3,None,94,18,267.6,None,18.3,1.8
"Franklin, Iowa",6.9,45260,11.1,3.9,9.9,80.6,3,None,83,20.6,121.9,None,21.9,2.2
"Fremont, Iowa",4.9,47287,10.2,4,3.7,79.6,3,None,95,18.5,101.7,None,24.8,5
"Greene, Iowa",4.2,42930,13,4.4,10.9,76,4,52.4,89,28.9,42.8,19.6,43.7,1.1
"Grundy, Iowa",3.7,53190,7,3.5,8.9,82.3,3,51.8,92,34.3,56,None,24.4,4.1
"Guthrie, Iowa",3.5,47370,10.3,4,11.2,77.4,4,51.9,None,27.9,50.1,None,46.8,2.8
"Hamilton, Iowa",3.9,40799,12.3,3.9,7.2,80.2,4,None,83,31.6,294.7,None,230.3,1.4
"Hancock, Iowa",2.7,46898,10.4,3.8,8.1,80.1,4,46.9,91,30.9,91.1,None,27,2.7
"Hardin, Iowa",3.6,46184,8.6,4.2,8.6,80.4,4,59.8,91,34.6,119.6,None,51.7,3.4
"Harrison, Iowa",3,51090,9.6,4,9,76.1,4,51.1,94,26.2,78.1,10.5,55.4,3.5
"Henry, Iowa",4.5,43408,17.9,4.4,9.5,82.4,4,None,90,34.3,226.9,17.2,164.6,2.6
"Howard, Iowa",7,43458,11.6,3.9,3.3,77,3,None,None,20.3,24.5,None,21.7,1.1
"Humboldt, Iowa",3.3,44832,10.2,4.2,7.2,81.3,4,70,93,30,20.3,None,41.3,3.1
"Ida, Iowa",3,40668,14.4,4.2,12.6,84.8,3,56.6,96,28.9,61,None,28,2.8
"Iowa, Iowa",3.3,54296,10.9,3.8,5.5,78.9,4,44.7,95,32.7,140.3,None,61.2,3.1
"Jackson, Iowa",3.9,43493,10.5,4.3,7.7,74.5,4,59.5,90,23.4,None,None,40.9,1.5
"Jasper, Iowa",4,47280,11.8,3.9,4.6,72.4,4,44,93,27.6,143.8,12.5,38.1,1.6
"Jefferson, Iowa",4.5,45690,12.4,4.3,10.2,75.1,4,None,None,25.8,167.8,None,85.3,6.8
"Johnson, Iowa",2.4,50005,17.7,5.2,4.1,66,4,61,90,60.1,235.9,3.9,1361.8,1.4
"Jones, Iowa",4.1,51519,8.3,3.7,6.3,79.1,3,50.2,89,28.9,31.4,14.1,43.9,2.4
"Keokuk, Iowa",3.4,39468,13.2,3.7,10.7,76.2,4,43.3,None,24.3,113.6,None,9.7,2.9
"Kossuth, Iowa",2.8,48496,8.7,3.9,11.1,81.4,4,44.6,92,31.4,113.7,None,52.4,4.6
"Lee, Iowa",5.7,39751,15.1,3.9,8.5,78.4,3,42.4,84,26.1,523.8,17.6,121.5,2
"Linn, Iowa",3.7,53595,9.7,4,4.8,75.4,4,52.2,87,43.1,211.7,9.2,190.2,1.3
"Louisa, Iowa",5.5,47346,12.2,3.4,4.6,74.1,3,None,96,21.3,294,19.8,28.8,2.9
"Lucas, Iowa",6.1,40518,17,4.3,2.9,72.1,2,None,98,18.2,550.4,None,19.5,2
"Lyon, Iowa",5,48814,8,3.3,2.4,67.6,2,None,78,22.6,347.6,9.4,54.9,1.6
"Madison, Iowa",3.6,53896,8.9,4.2,5.8,75.9,3,45.5,95,31.9,57.1,None,12.9,1.9
"Mahaska, Iowa",3.7,44897,15.9,4.6,4.5,74.2,4,65.1,87,30.7,240.6,None,80.3,1.3
"Marion, Iowa",3.2,51221,9.2,3.7,3.6,78.6,4,50.7,93,35.3,215,None,84.3,2.7
"Marshall, Iowa",4.7,48256,12.1,3.5,6.1,75.8,3,42.1,88,29.3,353.9,14.6,95.1,2.2
"Mills, Iowa",3.5,59039,7,3.8,3.4,78.9,4,50.6,92,33.9,291.7,None,80.5,2
"Mitchell, Iowa",2.7,47809,7.1,3.5,6.5,83,4,45.8,97,31.1,66.2,None,0,6.5
"Monona, Iowa",4.1,39335,9,4.2,12.1,80.7,3,71.2,None,22.8,15.9,None,76.9,2.2
"Monroe, Iowa",3.8,43053,11.8,4.4,8.4,59.5,5,None,76,50.7,272,None,314.2,2.3
"Montgomery, Iowa",8.7,41447,16.1,4.7,1.9,82.5,4,None,88,19.8,15.5,None,37.4,2.5
"Muscatine, Iowa",3.8,48134,14.4,4.2,4.7,72.4,4,45.1,83,26.9,430.5,15.8,62.9,2.1
"O'Brien, Iowa",4,45101,11.3,4.2,6.9,74.3,5,None,83,33.8,171.7,None,27.6,4.1
"Osceola, Iowa",2.7,45545,8.6,3.7,8,83.8,4,54.8,None,26,10.3,None,0,3.2
"Page, Iowa",3.8,40257,13.9,4.4,5.8,79.5,4,66.1,90,28.5,122.1,19.1,102.7,2.6
"Palo Alto, Iowa",3,41805,9.2,4.7,8.7,80.3,4,44.6,None,32.3,169.3,None,43.6,3.3
"Plymouth, Iowa",2.6,55119,6.4,3.5,6.8,79.7,4,46.8,95,30.5,81.2,None,48.1,2
"Pocahontas, Iowa",5.3,41252,14.2,4.5,2.6,67,3,None,68,15.1,556,None,60.7,1.4
"Polk, Iowa",3.6,55241,11.8,4.2,4.5,71.5,4,45.3,88,44.7,330,10.7,212.5,1.7
"Pottawattamie, Iowa",3.5,48021,13.8,4.2,4.7,71.4,4,43.2,86,29.4,789.9,11.3,103.4,1.5
"Poweshiek, Iowa",6.7,47127,12.8,4.2,3.5,69.7,3,None,88,20,218.9,None,23.7,1.8
"Ringgold, Iowa",6.3,41700,None,4,6.5,66.9,3,None,91,14.6,100.8,None,48.4,2.4
"Sac, Iowa",3.2,45015,8.7,4,10.9,81.1,4,47.3,98,30.3,82.4,None,59.7,4
"Scott, Iowa",4.6,49360,13.1,4.5,4.5,71.9,4,37.8,84,42.4,492.6,10.2,220.5,1.3
"Shelby, Iowa",2.6,45661,10.8,3.9,10.9,78.5,4,60.8,97,30.2,14.2,None,75.4,2.5
"Sioux, Iowa",2.2,53565,8.2,3.4,5.5,81.3,4,36.4,91,34.9,111,None,81.1,2.6
"Story, Iowa",2.2,47283,20.9,5.1,4.9,65.8,3,48.8,93,57.1,241.1,2.2,179.9,1.2
"Tama, Iowa",4.4,48363,11.5,3.8,7.4,78.5,3,47.6,91,28.2,272.6,12.8,28.5,2.9
"Taylor, Iowa",2.9,41001,14.5,3.8,8.1,75.9,3,54.2,None,23.7,10.5,None,16.2,3.2
"Union, Iowa",3.7,41968,16.1,4.1,7.9,71.4,4,64.5,88,27.5,183,None,55.6,1.6
"Van Buren, Iowa",5.2,40418,16.5,3.9,6.4,63.8,3,None,80,40.1,244.7,None,159.6,2.6
"Wapello, Iowa",4.8,38774,19.1,4.8,5.4,71,3,54.3,85,26.1,264.5,14.1,147,1.7
"Warren, Iowa",3.2,58533,7.3,3.6,3.4,76.7,4,49,96,36.6,203.4,None,38,1.1
"Washington, Iowa",3,51063,9.8,3.6,5.9,75.5,4,48.1,86,31.4,336.1,11.2,72.7,1.8
"Wayne, Iowa",4.9,37463,12.4,4.5,3.3,72.9,3,None,83,29.1,70.1,None,47.3,1.4
"Webster, Iowa",4.3,38960,15.8,4.7,6.2,76,4,54,88,32.2,371.8,15.2,115.5,1.3
"Winnebago, Iowa",3.6,42685,11.4,4.2,5.1,85.9,3,None,None,33.4,189,None,51.3,5.1
"Winneshiek, Iowa",3.3,49722,8.4,3.9,6.7,78,4,57,97,37.4,23.7,None,148.5,2.9
"Woodbury, Iowa",3.6,42921,15.7,4.3,6.4,72.8,4,40.4,87,28.8,330.7,10.2,156.4,2.1
"Worth, Iowa",4.3,47246,11.5,3.4,6.6,80.2,4,62.3,None,30.5,65.8,None,13.3,2.7
"Wright, Iowa",3.7,42312,11,4,6.9,81.4,4,61.9,93,27.8,139.6,None,54,3.9
"Allen, Kansas",4,37959,17,4.3,8.3,76.1,3,None,None,18.7,141.1,19.5,33.4,5
"Anderson, Kansas",4.5,39043,12.8,4,1.5,75.8,3,None,95,24,441.9,None,114,1.5
"Atchison, Kansas",5.2,42319,17.1,4.3,3,73.2,2,None,68,19.1,307.1,None,7.6,0.8
"Barber, Kansas",6.3,42981,10.6,4,2.6,62.4,3,None,73,18.5,377.5,None,38.9,1.3
"Barton, Kansas",4.1,42102,13.9,3.9,8.4,81.2,4,48.3,85,27.9,410.7,10.2,105.4,1.5
"Bourbon, Kansas",5.3,37057,19.3,4.9,5.6,70.5,4,None,99,21.8,177.1,None,138.9,2.8
"Brown, Kansas",4.1,37410,19,4.5,8,72.5,4,30.2,82,25.3,176.6,13.6,120.6,3
"Butler, Kansas",4.4,52841,8.4,4,5.8,73.7,4,49.9,89,35.7,213,10.8,136.6,0.9
"Chase, Kansas",4.6,34459,13.1,4.5,5.9,71,4,None,90,35.9,82.9,None,122.4,2
"Chautauqua, Kansas",6.5,36999,15.2,3.5,8.4,79.1,2,59.4,None,24.8,None,None,0,2.8
"Cherokee, Kansas",5.1,37202,18.4,4.3,2.4,67.5,2,None,73,18,171.8,None,24,3.2
"Cheyenne, Kansas",4,35451,11.2,4.2,2.7,67,3,None,82,24.8,None,0,95.8,1.4
"Clark, Kansas",7.1,38497,12.7,4,2.3,62.8,4,None,93,29.4,295.9,None,39.4,5.6
"Clay, Kansas",14.9,42338,14,3.9,2.7,61,2,None,73,12,662,None,39.8,5.3
"Cloud, Kansas",3.7,36068,16.3,3.9,13.9,79.6,3,60.9,80,27.7,367.9,None,42.7,2.1
"Coffey, Kansas",4.9,48478,9.1,4,9.5,78.4,4,49,93,28.4,138.5,None,107,3.6
"Comanche, Kansas",7,36855,None,3.8,4.4,64.4,3,None,72,17.2,143.9,None,29.4,2.4
"Cowley, Kansas",4.5,39198,17.6,4.1,6.1,72.5,4,45.6,79,30.4,378.7,14.1,60.7,1.1
"Crawford, Kansas",5.3,34986,20.6,4.6,7.1,67.4,4,43.2,88,35.3,331.6,7.4,111.9,1.5
"Decatur, Kansas",2.8,36816,None,3.8,7.9,79.7,4,None,None,42.5,26.3,None,0,7.9
"Dickinson, Kansas",5.4,45761,10.9,3.8,7.2,77,4,55.2,89,26.7,164.5,None,30.7,2
"Doniphan, Kansas",4.4,43535,12.3,4,8.9,77.7,3,69.3,None,25.8,238.2,None,38.2,3.8
"Douglas, Kansas",3.6,46340,19,5.2,4.9,61.6,4,61.3,88,55.5,387.3,None,216.9,1.4
"Edwards, Kansas",6.5,43572,12.9,3.5,4.2,76.8,3,None,93,16.6,326.7,None,52.3,2.6
"Elk, Kansas",6.1,31907,18.5,4.1,6,71.7,3,None,84,19.7,365.1,None,95.2,1.4
"Ellis, Kansas",3.3,40328,16.2,4.7,6.9,67.4,5,53.7,86,39.9,333.9,None,223.7,2.1
"Ellsworth, Kansas",13,42930,6.9,3.4,2.7,83,3,None,83,15,None,None,26.5,1.3
"Finney, Kansas",3.5,44877,16,3.4,4,71.2,4,36.7,81,25.8,383.6,13.8,107.7,1.3
"Ford, Kansas",7.7,47903,15.5,3.4,7.2,76.3,4,None,83,15.8,297.3,10.5,35.8,1.4
"Franklin, Kansas",4.7,46372,13.1,3.9,5,68.5,3,34.8,85,28.9,276.2,None,62,0.8
"Geary, Kansas",6.2,43906,12.1,3.1,4.1,68.5,4,43.2,74,30.4,498.8,14.3,56.8,0.5
"Gove, Kansas",2.7,41995,10.3,3.6,25.3,84,5,52.7,None,29.1,224.5,None,180.8,7.2
"Graham, Kansas",4.8,44460,11.2,4.3,5.7,74.7,4,None,88,26.2,197.2,None,114.9,2.9
"Grant, Kansas",11.6,49807,None,3.1,6.1,63.1,3,None,73,22.6,845.2,None,71.3,2
"Gray, Kansas",4.4,54108,11.2,3.4,8.4,77.8,4,None,85,25.1,116.2,None,134.7,3.4
"Greeley, Kansas",2.7,49465,None,3.9,4.1,78.8,4,None,73,23.7,158.9,0,45.3,2.3
"Greenwood, Kansas",6.5,35892,16.1,4.3,3.8,58.1,4,None,92,29.4,294.1,None,147.5,3
"Hamilton, Kansas",6.9,40582,None,3.9,3.5,62.5,2,None,78,18.4,None,None,0,1.2
"Harper, Kansas",5.2,35861,16.5,4.6,1.4,70.2,2,None,84,22.6,210,None,18.9,2.4
"Harvey, Kansas",4,47069,12.8,4.3,5.7,74.6,4,53.8,87,33.7,359.7,10.1,169.5,1.7
"Haskell, Kansas",3.2,49061,None,3.3,6.1,89.4,3,None,93,21,141.4,None,49,2.5
"Hodgeman, Kansas",2.4,49023,None,3.5,14.3,77.4,3,None,None,26.8,None,None,143,7.1
"Jackson, Kansas",3.8,51055,9.4,3.7,3.7,78.3,4,62.1,93,26.2,203.8,9.5,82.3,2.2
"Jefferson, Kansas",4.2,53235,7.7,3.6,3.7,75,3,53.7,94,28.1,200.3,None,53.1,1.6
"Jewell, Kansas",5.7,37332,12.5,4,4.8,64.3,3,None,74,15.2,857.6,None,56.7,1.7
"Johnson, Kansas",3.5,69935,6.5,3.9,4.9,72.9,5,56.7,93,58.8,164.7,8,479.6,1.3
"Kearny, Kansas",4.5,48919,None,3,5.9,78.8,4,None,93,28.4,188.7,None,29.3,2
"Kingman, Kansas",4.5,44428,12.5,3.6,5.1,79.8,4,59.6,86,27.5,155.4,18.3,0,2.6
"Kiowa, Kansas",3.9,41793,12.3,5.1,3.5,76.9,4,None,88,21.9,34.2,None,17.3,1.7
"Labette, Kansas",6.1,38297,15.3,4.2,7.6,74.9,3,36.4,93,32.8,507.9,12.4,143.1,2.4
"Lane, Kansas",8.1,49628,None,4.8,3.1,55.2,3,None,84,19,312.1,None,49.7,1.9
"Leavenworth, Kansas",4.6,59375,10.7,4.4,4.5,72.3,4,42.6,89,36.6,455.5,14.1,76.7,1
"Lincoln, Kansas",4.4,38199,12.8,3.8,4.8,76.5,3,None,91,24.7,159.1,None,19.3,3.9
"Linn, Kansas",4.7,42606,12.9,4,4.7,76.1,3,None,88,22.5,180,24.9,40.3,2
"Logan, Kansas",5.8,39092,12.8,5,5.3,75.7,3,None,None,17.4,None,None,0,5.3
"Lyon, Kansas",4.3,36486,21.1,4.5,5.1,70.5,3,49.7,85,29.8,265.7,9.3,110.4,2.7
"McPherson, Kansas",3.2,50700,8.2,3.6,8.4,81.2,4,34.6,87,33.1,201.4,None,91.2,2
"Marion, Kansas",3.8,42897,12,3.6,9.8,79.6,3,43.2,None,27.3,112.1,None,49.1,4.1
"Marshall, Kansas",2.9,41214,12.2,4.2,10,80.8,4,59.4,None,22.5,118.3,None,49.9,5
"Meade, Kansas",10.1,47736,9.5,3.1,6.2,75.6,4,None,None,35.5,None,None,186.7,12.4
"Miami, Kansas",4.4,55164,9.5,4.1,4.9,70.7,4,50.4,66,33.4,182.4,None,51.8,1.2
"Mitchell, Kansas",5.2,43680,9.7,4,7.9,75.9,3,None,78,14.8,97.2,None,15.7,3.1
"Montgomery, Kansas",6.8,37130,19.4,4.8,7.8,73,3,46.7,81,28.8,504.4,16.4,84.3,0.9
"Morris, Kansas",3.5,44409,8.3,3.8,6.5,80.9,4,None,None,25.2,10.7,None,32.4,3.2
"Morton, Kansas",3.2,43624,None,3.4,5.2,83.4,3,None,None,22.8,166.6,None,26.1,7.8
"Nemaha, Kansas",1.6,44106,11.5,4.1,17.2,86.3,3,None,None,33.7,22.4,None,103.1,3.4
"Neosho, Kansas",7.3,39379,20.7,4.4,8.5,73.8,3,44.3,91,27.9,235.6,None,85.1,2.4
"Ness, Kansas",3.5,45677,12.7,3.9,19.4,87.4,4,83.7,None,28.3,149.4,None,32.3,9.7
"Norton, Kansas",7.1,43083,None,3.9,9.5,79,3,None,None,24.2,111.7,None,38.1,7.6
"Osage, Kansas",5,46992,10.6,3.9,6.8,74.8,4,47.3,90,26.5,246,21.8,12.4,1.9
"Osborne, Kansas",3.6,35498,17.3,4.4,15.8,78.4,5,60.4,None,26.1,123.2,None,52.5,7.9
